Strategy,Won,Score,Remaining_plays,Target_hand_ratio
Full House,1,772,1,0.5
Full House,1,751,2,0.5
Full House,1,1400,2,1.0
Full House,1,1376,3,0.75
Full House,1,691,0,0.5
Full House,1,1076,2,0.75
Full House,1,936,1,0.75
Full House,1,739,1,0.5
Full House,1,1412,2,1.0
Full House,1,1200,1,1.0
Full House,1,951,1,0.75
Full House,1,703,0,0.5
Full House,1,1065,2,0.75
Full House,1,1087,0,0.75
Full House,1,848,0,0.75
Full House,1,624,0,0.5
Full House,0,438,0,0.25
Full House,0,414,0,0.25
Full House,1,816,2,0.5
Full House,1,803,2,0.5
Full House,1,1144,1,1.0
Full House,1,998,0,0.5
Full House,1,983,2,0.75
Full House,1,1416,2,0.75
Full House,1,987,2,0.75
Full House,1,1139,1,0.5
Full House,1,915,2,0.75
Full House,0,434,0,0.25
Full House,1,1144,2,1.0
Full House,1,1048,1,0.75
Full House,1,826,1,0.5
Full House,1,1228,2,1.0
Full House,1,876,1,0.75
Full House,1,763,1,0.5
Full House,1,804,2,0.5
Full House,1,638,0,0.5
Full House,1,708,1,0.5
Full House,1,907,1,0.75
Full House,1,1342,2,0.75
Full House,1,940,2,0.75
Full House,1,944,1,0.75
Full House,0,467,0,0.25
Full House,1,752,2,0.5
Full House,1,1380,2,0.75
Full House,1,1164,2,1.0
Full House,1,972,2,0.75
Full House,0,460,0,0.25
Full House,0,514,0,0.25
Full House,1,1608,3,1.0
Full House,1,988,2,0.75
Full House,1,780,2,0.5
Full House,1,972,2,0.75
Full House,1,884,2,0.75
Full House,1,984,2,0.75
Full House,1,1404,2,0.75
Full House,1,1380,1,0.75
Full House,1,1084,1,1.0
Full House,1,875,1,0.5
Full House,1,741,2,0.5
Full House,0,398,0,0.25
Full House,1,1389,2,0.75
Full House,0,583,0,0.5
Full House,1,1232,2,1.0
Full House,0,468,0,0.25
Full House,1,712,0,0.5
Full House,1,1052,0,0.5
Full House,1,1276,2,0.75
Full House,1,610,0,0.5
Full House,1,1044,2,0.75
Full House,1,907,2,0.75
Full House,1,1024,2,0.75
Full House,1,780,1,0.75
Full House,1,1055,2,0.5
Full House,1,675,0,0.5
Full House,1,704,1,0.5
Full House,1,1168,1,1.0
Full House,1,811,2,0.5
Full House,1,1064,3,0.5
Full House,1,956,1,0.75
Full House,1,916,2,0.75
Full House,1,984,2,0.75
Full House,1,1300,1,0.75
Full House,1,1128,2,1.0
Full House,1,1053,2,0.75
Full House,1,956,0,0.75
Full House,0,536,0,0.25
Full House,1,983,2,0.75
Full House,1,751,2,0.5
Full House,1,1260,2,1.0
Full House,1,1192,2,1.0
Full House,1,680,2,0.5
Full House,1,1248,2,1.0
Full House,1,1144,1,1.0
Full House,1,700,1,0.5
Full House,1,1016,1,0.75
Full House,0,451,0,0.25
Full House,1,699,0,0.5
Full House,1,1343,3,0.75
Full House,1,720,2,0.5
Full House,1,1196,2,1.0
Full House,1,1384,2,0.75
Full House,1,1204,1,1.0
Full House,1,1040,2,0.75
Full House,1,972,1,0.75
Full House,1,1196,2,1.0
Full House,1,696,1,0.5
Full House,1,1172,2,1.0
Full House,1,1244,3,0.75
Full House,1,1076,2,0.75
Full House,1,1236,1,1.0
Full House,1,1012,2,0.75
Full House,1,900,1,0.75
Full House,1,1012,2,0.75
Full House,1,743,2,0.5
Full House,1,1112,2,1.0
Full House,0,513,0,0.25
Full House,0,478,0,0.25
Full House,1,792,1,0.5
Full House,1,1040,1,0.75
Full House,1,956,1,0.75
Full House,1,919,2,0.75
Full House,1,1044,1,1.0
Full House,1,764,2,0.5
Full House,1,908,2,0.75
Full House,1,1012,2,0.75
Full House,1,1120,2,0.75
Full House,1,1612,2,1.0
Full House,1,688,0,0.5
Full House,1,1200,2,1.0
Full House,1,992,2,0.75
Full House,1,1304,2,1.0
Full House,1,888,1,0.75
Full House,1,959,2,0.75
Full House,1,1192,2,1.0
Full House,1,1192,1,1.0
Full House,1,1156,2,1.0
Full House,1,1088,1,0.75
Full House,1,936,1,0.75
Full House,1,920,1,0.75
Full House,1,1108,2,1.0
Full House,1,952,1,0.75
Full House,1,1104,1,1.0
Full House,0,519,0,0.25
Full House,1,722,1,0.5
Full House,1,956,1,0.75
Full House,1,752,0,0.5
Full House,1,1040,2,0.75
